timestamp,demand,hour_sin,hour_cos,is_weekend,cooling_degree,heating_degree,temperature,pressure (hPa),cloud_cover (%),wind_speed_10m (km/h),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²)
2013-07-01 00:00:00+00:00,0.27,0.0,1.0,0,0.0,4.5,13.5,1011.3,4,10.5,,0,0,0.0
2013-07-01 01:00:00+00:00,0.23,0.25882,0.96593,0,0.0,4.8,13.2,1010.8,27,11.9,0.0,0,0,0.0
2013-07-01 02:00:00+00:00,0.26,0.5,0.86603,0,0.0,4.9,13.1,1010.3,33,11.6,0.0,0,0,0.0
2013-07-01 03:00:00+00:00,0.28,0.70711,0.70711,0,0.0,5.0,13.0,1010.3,28,11.2,,2,7,30.1
2013-07-01 04:00:00+00:00,0.29,0.86603,0.5,0,0.0,4.2,13.8,1010.2,16,11.7,,30,31,252.0
2013-07-01 05:00:00+00:00,0.22,0.96593,0.25882,0,0.0,2.7,15.3,1010.1,26,11.1,,91,61,402.8
2013-07-01 06:00:00+00:00,0.45,1.0,0.0,0,0.0,1.3,16.7,1010.0,8,11.0,,188,82,541.9
2013-07-01 07:00:00+00:00,0.42,0.96593,-0.25882,0,0.0,0.3,17.7,1010.1,12,11.8,,289,99,618.5
2013-07-01 08:00:00+00:00,0.25,0.86603,-0.5,0,0.4,0.0,18.4,1009.9,24,11.8,,356,121,615.1
2013-07-01 09:00:00+00:00,0.3,0.70711,-0.70711,0,0.9,0.0,18.9,1009.8,28,11.3,,396,123,587.7
2013-07-01 10:00:00+00:00,0.44,0.5,-0.86603,0,1.3,0.0,19.3,1009.7,43,11.4,,432,130,579.1
2013-07-01 11:00:00+00:00,0.87,0.25882,-0.96593,0,1.6,0.0,19.6,1009.6,48,12.2,,399,181,504.9
2013-07-01 12:00:00+00:00,1.18,0.0,-1.0,0,0.8,0.0,18.8,1009.2,58,15.2,,265,175,329.7
2013-07-01 13:00:00+00:00,0.59,-0.25882,-0.96593,0,0.4,0.0,18.4,1009.2,69,19.2,566.0,345,221,439.2
2013-07-01 14:00:00+00:00,0.35,-0.5,-0.86603,0,0.1,0.0,18.1,1009.6,85,19.3,,290,188,393.7
2013-07-01 15:00:00+00:00,0.46,-0.70711,-0.70711,0,0.0,0.9,17.1,1009.4,50,17.8,,133,145,201.3
2013-07-01 16:00:00+00:00,0.42,-0.86603,-0.5,0,0.0,1.2,16.8,1009.3,67,17.1,,173,123,307.6
2013-07-01 17:00:00+00:00,0.78,-0.96593,-0.25882,0,0.0,1.6,16.4,1009.7,78,18.5,,115,115,256.1
2013-07-01 18:00:00+00:00,0.7,-1.0,-0.0,0,0.0,2.4,15.6,1009.7,68,15.3,,25,58,76.2
2013-07-01 19:00:00+00:00,0.65,-0.96593,0.25882,0,0.0,3.1,14.9,1009.9,38,13.4,45.0,5,40,24.1
2013-07-01 20:00:00+00:00,0.75,-0.86603,0.5,0,0.0,3.2,14.8,1010.1,46,12.1,,15,23,135.8
